project_id,asset_class,database,sector_code,country,region,invest_usd,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,Energy_TJ,NOx_t
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,3,Transport_Logistics,0.293,65.652,3.946,0.23965,0.1758,0.83065,1.18958
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,3,Health_Social,0.23327,43.591,6.054,0.31564,0.16329,0.28342,0.13529
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,3,Agriculture,0.12479,20.546,4.063,0.99864,0.09484,0.47171,0.16285
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,3,Mining_Extraction,0.56869,243.6,5.325,1.4937,0.31847,3.45479,1.15444
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,3,Water_Waste,0.16071,24.855,2.742,1.87318,0.11089,0.26034,0.11651
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,4,Construction,0.10151,30.328,2.021,0.1221,0.04873,0.24668,0.11776
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,4,Energy_Utilities,0.18841,59.855,1.213,0.35441,0.12058,2.16205,0.4098
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,4,Manufacturing,0.31087,156.502,3.327,0.69462,0.13057,1.34298,0.54092
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,4,Transport_Logistics,0.13683,30.659,1.843,0.11191,0.0821,0.38791,0.55552
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,4,Health_Social,0.10874,20.321,2.822,0.14715,0.07612,0.13212,0.06307
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,4,Agriculture,0.05819,9.58,1.895,0.46565,0.04422,0.21995,0.07594
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,4,Mining_Extraction,0.26492,113.477,2.48,0.69582,0.14835,1.60937,0.53778
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,4,Water_Waste,0.07506,11.608,1.281,0.87485,0.05179,0.12159,0.05442
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,5,Construction,0.04741,14.163,0.944,0.05702,0.02275,0.1152,0.05499
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,5,Energy_Utilities,0.08794,27.935,0.566,0.16541,0.05628,1.00906,0.19126
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,5,Manufacturing,0.14503,73.01,1.552,0.32405,0.06091,0.62651,0.25235
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,5,Transport_Logistics,0.06386,14.308,0.86,0.05223,0.03831,0.18103,0.25926
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,5,Health_Social,0.05074,9.483,1.317,0.06867,0.03552,0.06166,0.02943
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,5,Agriculture,0.02715,4.471,0.884,0.21731,0.02064,0.10265,0.03544
