project_id,asset_class,database,sector_code,country,region,invest_usd,supplying_sector,sourcing_country,trade_share,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,Energy_TJ,NOx_t,model_label,scenario,year,adj_ratio_ghg,adj_ratio_employment,adj_ratio_water,adj_ratio_va,GHG_adj_tCO2e,Employment_adj_FTE,Water_adj_1000m3,ValueAdded_adj_M$,tier_label,tier,sourcing_region,sourcing_share,tier_range
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Transport_Logistics,LATAM,1.0,17.5,3505.337,187.915,12.2976,10.5,42.2625,63.7,OSeMOSYS,SSP3-7.0,2040.0,0.3704,1.2033,0.34165561282255663,1.2033,1298.3768248000001,226.1181195,4.201544064246672,12.63465,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Transport_Logistics,LATAM,1.0,17.5,3505.337,187.915,12.2976,10.5,42.2625,63.7,OSeMOSYS,SSP4-6.0,2025.0,1.0162,1.092,0.7828295814147193,1.092,3562.1234594,205.20318,9.62692506040565,11.466000000000001,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Transport_Logistics,LATAM,1.0,17.5,3505.337,187.915,12.2976,10.5,42.2625,63.7,OSeMOSYS,SSP4-6.0,2030.0,0.7622,1.1369,0.6081643492139134,1.1369,2671.7678614,213.64056349999998,7.478961900893021,11.93745,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Transport_Logistics,LATAM,1.0,17.5,3505.337,187.915,12.2976,10.5,42.2625,63.7,OSeMOSYS,SSP4-6.0,2040.0,0.3839,1.2041,0.3475652718022418,1.2041,1345.6988743000002,226.26845149999997,4.2742186865152485,12.643049999999999,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Transport_Logistics,LATAM,1.0,17.5,3505.337,187.915,12.2976,10.5,42.2625,63.7,OSeMOSYS,SSP5-8.5,2025.0,1.1417,1.0569,0.882895197634791,1.0569,4002.0432529,198.6073635,10.857491982433604,11.09745,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Transport_Logistics,LATAM,1.0,17.5,3505.337,187.915,12.2976,10.5,42.2625,63.7,OSeMOSYS,SSP5-8.5,2030.0,0.7717,1.1264,0.6239839506863696,1.1264,2705.0685629,211.66745600000002,7.673505031960698,11.827200000000001,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Transport_Logistics,LATAM,1.0,17.5,3505.337,187.915,12.2976,10.5,42.2625,63.7,OSeMOSYS,SSP5-8.5,2040.0,0.3357,1.2095,0.31775795947446916,1.2095,1176.7416309,227.28319249999998,3.907660282433232,12.69975,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Health_Social,LATAM,1.0,45.0,7224.84,922.752,51.0705,31.5,46.575,23.4,OSeMOSYS,SSP1-1.9,2025.0,0.7833,1.1471,0.6078663855501878,1.1471,5659.217172,1058.4888191999999,31.044040243240868,36.13365,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Health_Social,LATAM,1.0,45.0,7224.84,922.752,51.0705,31.5,46.575,23.4,OSeMOSYS,SSP1-1.9,2030.0,0.5659,1.184,0.45992613971530133,1.184,4088.536956,1092.538368,23.488657918330297,37.296,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Health_Social,LATAM,1.0,45.0,7224.84,922.752,51.0705,31.5,46.575,23.4,OSeMOSYS,SSP1-1.9,2040.0,0.1132,1.2534,0.15988286611186275,1.2534,817.851888,1156.5773568,8.165297913765887,39.4821,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Health_Social,LATAM,1.0,45.0,7224.84,922.752,51.0705,31.5,46.575,23.4,OSeMOSYS,SSP2-4.5,2025.0,1.0254,1.088,0.7917047314628838,1.088,7408.350936000001,1003.9541760000001,40.43275648817521,34.272000000000006,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Health_Social,LATAM,1.0,45.0,7224.84,922.752,51.0705,31.5,46.575,23.4,OSeMOSYS,SSP2-4.5,2030.0,0.7518,1.137,0.6028953194657325,1.137,5431.634712,1049.169024,30.790165412774694,35.8155,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Health_Social,LATAM,1.0,45.0,7224.84,922.752,51.0705,31.5,46.575,23.4,OSeMOSYS,SSP2-4.5,2040.0,0.3665,1.2065,0.3364264164875368,1.2065,2647.90386,1113.300288,17.181465303226748,38.004749999999994,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Health_Social,LATAM,1.0,45.0,7224.84,922.752,51.0705,31.5,46.575,23.4,OSeMOSYS,SSP3-7.0,2025.0,1.1159,1.065,0.8613688492124596,1.065,8062.198955999999,982.73088,43.99053781370492,33.5475,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Health_Social,LATAM,1.0,45.0,7224.84,922.752,51.0705,31.5,46.575,23.4,OSeMOSYS,SSP3-7.0,2030.0,0.7887,1.1253,0.6336921957863778,1.1253,5698.231307999999,1038.3728256,32.36297728490821,35.44695,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Health_Social,LATAM,1.0,45.0,7224.84,922.752,51.0705,31.5,46.575,23.4,OSeMOSYS,SSP3-7.0,2040.0,0.3704,1.2033,0.34165561282255663,1.2033,2676.080736,1110.3474816,17.44852297465438,37.90395,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Health_Social,LATAM,1.0,45.0,7224.84,922.752,51.0705,31.5,46.575,23.4,OSeMOSYS,SSP4-6.0,2025.0,1.0162,1.092,0.7828295814147193,1.092,7341.882408,1007.645184,39.97949813764042,34.398,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Health_Social,LATAM,1.0,45.0,7224.84,922.752,51.0705,31.5,46.575,23.4,OSeMOSYS,SSP4-6.0,2030.0,0.7622,1.1369,0.6081643492139134,1.1369,5506.773048,1049.0767488,31.059257396529166,35.81235,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Health_Social,LATAM,1.0,45.0,7224.84,922.752,51.0705,31.5,46.575,23.4,OSeMOSYS,SSP4-6.0,2040.0,0.3839,1.2041,0.3475652718022418,1.2041,2773.6160760000002,1111.0856832,17.75033221357639,37.92915,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Health_Social,LATAM,1.0,45.0,7224.84,922.752,51.0705,31.5,46.575,23.4,OSeMOSYS,SSP5-8.5,2025.0,1.1417,1.0569,0.882895197634791,1.0569,8248.599828,975.2565887999999,45.08989919080759,33.29235,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Health_Social,LATAM,1.0,45.0,7224.84,922.752,51.0705,31.5,46.575,23.4,OSeMOSYS,SSP5-8.5,2030.0,0.7717,1.1264,0.6239839506863696,1.1264,5575.409028000001,1039.3878528,31.86717235352824,35.4816,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Health_Social,LATAM,1.0,45.0,7224.84,922.752,51.0705,31.5,46.575,23.4,OSeMOSYS,SSP5-8.5,2040.0,0.3357,1.2095,0.31775795947446916,1.2095,2425.378788,1116.068544,16.22805786934088,38.09925,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Agriculture,LATAM,1.0,5.0,793.8,129.8,32.7375,3.8,16.1,5.85,OSeMOSYS,SSP1-1.9,2025.0,0.7833,1.1471,0.6078663855501878,1.1471,621.78354,148.89358000000001,19.900025796949272,4.35898,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Agriculture,LATAM,1.0,5.0,793.8,129.8,32.7375,3.8,16.1,5.85,OSeMOSYS,SSP1-1.9,2030.0,0.5659,1.184,0.45992613971530133,1.184,449.2114199999999,153.6832,15.056831998929676,4.499199999999999,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Agriculture,LATAM,1.0,5.0,793.8,129.8,32.7375,3.8,16.1,5.85,OSeMOSYS,SSP1-1.9,2040.0,0.1132,1.2534,0.15988286611186275,1.2534,89.85816,162.69132000000002,5.234165329337107,4.76292,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Agriculture,LATAM,1.0,5.0,793.8,129.8,32.7375,3.8,16.1,5.85,OSeMOSYS,SSP2-4.5,2025.0,1.0254,1.088,0.7917047314628838,1.088,813.96252,141.22240000000002,25.918433646266156,4.1344,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Agriculture,LATAM,1.0,5.0,793.8,129.8,32.7375,3.8,16.1,5.85,OSeMOSYS,SSP2-4.5,2030.0,0.7518,1.137,0.6028953194657325,1.137,596.77884,147.5826,19.737285521009415,4.3206,tier0,,,,
