model,scenario,year,project_id,asset_class,region,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,GHG_adj_tCO2e,Employment_adj_FTE,Water_adj_1000m3,ValueAdded_adj_M$
OSeMOSYS,SSP3-7.0,2025.0,Rail_EU_OP2,Transport,Europe,29.118000000000002,1.116,0.2435,0.09870000000000001,26.2734407,1.1464750000000001,0.194247423117021,0.10161885000000001
OSeMOSYS,SSP3-7.0,2030.0,Hydro_AF,Energy,Africa,19810.043999999998,777.231,127.29241,30.66147,10088.4495622,832.3395154000001,70.77629610772732,32.798724995
OSeMOSYS,SSP3-7.0,2030.0,Hydro_AS,Energy,Asia,94348.175,3587.415,621.3964,154.10061,52183.181173900004,3451.9150237,458.7981475827737,148.450476902
OSeMOSYS,SSP3-7.0,2030.0,Hydro_EU,Energy,Europe,792.937,27.285999999999998,5.07133,2.05574,640.8972808999999,28.2684506,3.7595518340912597,2.133086232
OSeMOSYS,SSP3-7.0,2030.0,Proj_001,Health,LATAM,127310.303,5524.17,999.20328,256.50715,98964.6977311,6176.3236097,638.7210610279684,286.635474375
OSeMOSYS,SSP3-7.0,2030.0,Proj_002,Health,Africa,15485.008,662.222,111.93954,25.53141,7881.2492194999995,709.3596969,62.110839943483164,27.319268839000003
OSeMOSYS,SSP3-7.0,2030.0,Proj_003,Health,Europe,25807.022,1040.627,204.46526,76.94068,20855.8759273,1078.4777398,151.65393348936192,79.851364867
OSeMOSYS,SSP3-7.0,2030.0,Rail_EU_DEV,Transport,Europe,762641.142,27028.731,5179.53173,2050.32969,616370.382494,28004.2430367,3840.457853940101,2127.598771201
OSeMOSYS,SSP3-7.0,2030.0,Rail_EU_OP1,Transport,Europe,42.063,1.613,0.35166,0.14271,33.9742113,1.6711069,0.2608173896313184,0.148134811
OSeMOSYS,SSP3-7.0,2030.0,Rail_EU_OP2,Transport,Europe,29.118000000000002,1.116,0.2435,0.09870000000000001,23.518391100000002,1.1564596,0.18059478910868274,0.10245053100000001
OSeMOSYS,SSP3-7.0,2040.0,Hydro_AF,Energy,Africa,19810.043999999998,777.231,127.29241,30.66147,3890.769594,918.8573198,35.64702163961903,36.214328793
OSeMOSYS,SSP3-7.0,2040.0,Hydro_AS,Energy,Asia,94348.175,3587.415,621.3964,154.10061,20426.7490477,4042.1105875,237.52689216267768,173.65958336199998
OSeMOSYS,SSP3-7.0,2040.0,Hydro_EU,Energy,Europe,792.937,27.285999999999998,5.07133,2.05574,358.56762549999996,30.936180399999998,2.322687768744751,2.3303791819999997
OSeMOSYS,SSP3-7.0,2040.0,Proj_001,Health,LATAM,127310.303,5524.17,999.20328,256.50715,46341.1080255,6626.8707865,344.37839561645063,307.56485166100003
OSeMOSYS,SSP3-7.0,2040.0,Proj_002,Health,Africa,15485.008,662.222,111.93954,25.53141,3038.022043,783.0019195,31.261613150016366,30.160668143000002
OSeMOSYS,SSP3-7.0,2040.0,Proj_003,Health,Europe,25807.022,1040.627,204.46526,76.94068,11667.3219397,1179.7881232,93.87194261714731,87.217022163
OSeMOSYS,SSP3-7.0,2040.0,Rail_EU_DEV,Transport,Europe,762641.142,27028.731,5179.53173,2050.32969,344830.2430393,30644.3220275,2374.2797007220056,2324.224834915
OSeMOSYS,SSP3-7.0,2040.0,Rail_EU_OP1,Transport,Europe,42.063,1.613,0.35166,0.14271,18.9987757,1.8286839,0.16141517537271655,0.161766545
OSeMOSYS,SSP3-7.0,2040.0,Rail_EU_OP2,Transport,Europe,29.118000000000002,1.116,0.2435,0.09870000000000001,13.1516387,1.2653998,0.11176667981669207,0.111879255
OSeMOSYS,SSP4-6.0,2025.0,Hydro_AF,Energy,Africa,19810.043999999998,777.231,127.29241,30.66147,16703.3131239,767.339372,102.75982647122585,30.341127
OSeMOSYS,SSP4-6.0,2025.0,Hydro_AS,Energy,Asia,94348.175,3587.415,621.3964,154.10061,75977.2114412,3635.408968,482.0991135938375,156.35243084
OSeMOSYS,SSP4-6.0,2025.0,Hydro_EU,Energy,Europe,792.937,27.285999999999998,5.07133,2.05574,539.7103133,30.140120000000003,3.06412724468129,2.27674748
OSeMOSYS,SSP4-6.0,2025.0,Proj_001,Health,LATAM,127310.303,5524.17,999.20328,256.50715,127491.1957822,6014.693528000001,779.6481933679289,279.3664992
OSeMOSYS,SSP4-6.0,2025.0,Proj_002,Health,Africa,15485.008,662.222,111.93954,25.53141,13058.2319805,653.66884,90.41741302995854,25.257075999999998
OSeMOSYS,SSP4-6.0,2025.0,Proj_003,Health,Europe,25807.022,1040.627,204.46526,76.94068,17567.196693,1150.1694120000002,123.09414852601758,85.24235024000001
OSeMOSYS,SSP4-6.0,2025.0,Rail_EU_DEV,Transport,Europe,762641.142,27028.731,5179.53173,2050.32969,519113.9391761,29859.862228,3125.499518166567,2270.99560672
OSeMOSYS,SSP4-6.0,2025.0,Rail_EU_OP1,Transport,Europe,42.063,1.613,0.35166,0.14271,28.6450555,1.7819680000000002,0.21177910093258503,0.15815752000000002
