Manufacturing Country,SASB industry,Variable,Unit,direct,upstream tier 1,upstream tier 2,upstream rest,Total
TUR,Transportation,Air Emission,EUR Impact per EUR Output,-0.002334118503995392,-0.004934449410635249,-0.0052528336863895235,-0.008469521599238073,-0.02099092320025824
USA,Consumer Goods,Air Emission,EUR Impact per EUR Output,-0.0006070693291507387,-0.002939969333621404,-0.0023474674856731013,-0.004048134053267164,-0.009942640201712408
USA,Extractives & Minerals Processing,Air Emission,EUR Impact per EUR Output,-0.018142854347455994,-0.01571302864251601,-0.007213635996403945,-0.00744563362567845,-0.0485151526120544
USA,Financials,Air Emission,EUR Impact per EUR Output,-0.00016622778359755508,-0.0007094811930118718,-0.0008835436317437467,-0.0025162250128613907,-0.004275477621214565
USA,Food & Beverage,Air Emission,EUR Impact per EUR Output,-0.07368461359542593,-0.05273003682564728,-0.021233545669986805,-0.017335154564235684,-0.16498335065529568
USA,Health Care,Air Emission,EUR Impact per EUR Output,-0.0011671065811478946,-0.0029736365065464714,-0.002990693421739455,-0.004691756875615749,-0.011823193385049571
USA,Infrastructure,Air Emission,EUR Impact per EUR Output,-0.01389361599324976,-0.005022194888509741,-0.0026583319977741366,-0.003874984110330793,-0.025449126989864432
USA,Renewable Resources & Alternative Energy,Air Emission,EUR Impact per EUR Output,-0.0428314989078188,-0.020385874674766925,-0.009178140704784545,-0.012384155812805876,-0.08477967010017613
USA,Resource Transformation,Air Emission,EUR Impact per EUR Output,-0.003791020249676161,-0.011536453674579715,-0.008625550518823721,-0.012822173347829983,-0.03677519779090958
USA,Services,Air Emission,EUR Impact per EUR Output,-0.0007820227993158134,-0.0027483209604743874,-0.0032267499775133794,-0.00462215285240289,-0.01137924658970647
USA,Technology & Communications,Air Emission,EUR Impact per EUR Output,-0.000411100219990503,-0.001878619614691879,-0.0021997883707553885,-0.005017910014584704,-0.009507418220022473
USA,Transportation,Air Emission,EUR Impact per EUR Output,-0.015903076291629323,-0.005427744383275719,-0.006222131213113426,-0.010662486241871423,-0.03821543812988989
